mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
22,-1.2557926368134287,0.04824248689493505,49,-26.030843715589494,5.8383763284141275e-30,0.0041310228407382,1
23,-0.12698482607505365,0.018099239052692433,49,-7.016031210227231,6.948629360502975e-09,0.0044047320261597,1
24,-0.23265356162559725,0.02512676549961628,49,-9.259192617893863,2.957705604994603e-12,0.0045519033446908,1
25,-1.0093099263084329,0.0431201916234767,49,-23.406897982311282,6.644532825487347e-28,0.0046605272218585,1
26,-2.5639461511851844,0.0797530666336682,49,-32.14855878786736,3.9937282664909734e-34,0.0048440368846058,1
27,-0.5745684280690795,0.03813669707856817,49,-15.066024907331894,8.040156645096607e-20,0.0049720155075192,1
28,-1.169929689000749,0.03839202336497104,49,-30.473249036105642,4.6338313258963135e-33,0.0052369954064488,1
29,-0.6448309603554,0.03902804386566826,49,-16.5222464793486,1.935905062813595e-21,0.0054828114807605,1
30,-0.45570429970776627,0.03169099305675393,49,-14.379615649521194,5.063919831202695e-19,0.0056525152176618,1
31,-0.4608821181728566,0.032193051008150904,49,-14.316198798808061,6.019347736002894e-19,0.0058893002569675,1
32,-1.8548652448703367,0.05389271373797235,49,-34.41773694842563,1.7280385115019684e-35,0.0060744471848011,1
33,-6.227269717240184,0.14964858470205175,49,-41.61262019041871,2.5512160771331334e-39,0.006196467205882,1
34,-0.2605204968497905,0.021430472463668783,49,-12.156544718808817,2.914878804950497e-16,0.0063056014478206,1
35,-0.0978341940973338,0.012157599676765909,49,-8.047163642367854,1.8690526590018846e-10,0.0066964793950319,1
36,-4.034031437604149,0.0914872888447071,49,-44.09390078715328,1.6965293161330302e-40,0.0067823454737663,1
37,-0.10803853637741578,0.011126013290710854,49,-9.710444662835117,6.568938937573298e-13,0.006928913295269,1
38,-1.2015772553710353,0.04388362933093417,49,-27.380990900039958,5.989279638902758e-31,0.0072302352637052,1
39,-1.5309533437461527,0.04724067377271014,49,-32.40752558085972,2.762791600939783e-34,0.0074026435613632,1
40,-0.23753088869652256,0.023123946358367918,49,-10.272074022977774,1.0441010890188757e-13,0.0074999053031206,1
41,-6.114292128184791,0.10527818927520637,49,-58.077481862852885,3.9096421574276525e-46,0.0076058097183704,1
42,-0.0543243306447018,0.007650486945917946,49,-7.10076770651671,5.1530830268797285e-09,0.0078272670507431,1
43,-0.084578115746189,0.013669159723714294,49,-6.187513896663046,1.295716162164326e-07,0.0081295762211084,1
44,-0.08640025734329697,0.013641393929932069,49,-6.3336824511545515,7.737522079713841e-08,0.008332522585988,1
45,-1.0758354044207252,0.040723720507599086,49,-26.417905609090244,3.0080203002293297e-30,0.0084747318178415,1
46,-1.641339900748947,0.06541253541724593,49,-25.09213089325093,3.023770021405358e-29,0.0086999479681253,1
47,-0.1969040276939609,0.011984505887188465,49,-16.429882846021457,2.435208068967465e-21,0.0089640468358993,1
