subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,16,R,5,-1.2717758649065622,3.7113585895411216e-05,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,6,-27.053410274926023,0.0053310456589902,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,7,-2.1297481330599317,0.0173294710528981,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,8,-34.79692845418338,0.0051294330543157,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,9,0.4156067938056539,0.0746902886689379,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,10,-4.505330114538066,0.0056424033590219,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,11,-23.63848771067308,0.0053023022517735,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,12,-7.65823669506286,0.0042977346871939,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,13,-4.781484199012753,0.0044133655259493,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,14,-15.935713412692662,0.0050676796762831,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,15,-6.918842518539806,0.003914502970039,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,16,-4.331426935849979,0.0056038742021776,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,17,-16.63305224943492,0.0035350884949354,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,18,-0.4791085045337481,3.664710316128816e-05,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,19,-2.3964178569228904,0.0012859196149113,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,20,-2.814269289534432,0.005613471042855,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,21,-2.4170426194484897,0.0061719662733403,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,22,-5.53204550441329,0.0018849207579222,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,23,-1.3397504926348311,0.008189944069856,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,24,-0.5638509574041336,0.0004458082212596,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,25,0.0574186345687128,0.5789968365870448,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,26,-0.0293988846792561,0.6216235382744821,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,27,-2.028592068219559,0.0062126920209473,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,28,-0.885561625424366,0.002685288216563,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,29,-0.0609633787434499,0.2844394356693379,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,30,-0.0263381051237971,0.7118864598557233,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,31,0.0407173702085521,0.5171935016931293,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,32,-2.2694322847305024,0.0068438526058994,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,33,-0.0106006420302619,0.5698354483187003,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,34,-0.9799512570753248,0.0021471437939103,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,35,-0.4500516487257368,0.0056923261934494,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,36,-0.7655732369336881,0.0035079767045958,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,37,-10.188065078861191,0.0046743093316919,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
