mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
97,-0.04145804917762241,0.005770828992447137,49,-7.18407168742701,3.8416683074452326e-09,0.0185584239661693,1
98,-0.12634341589289963,0.022013269467452783,49,-5.739420765266232,6.25386554496375e-07,0.0187302939593791,1
99,-0.3072678770362241,0.014966215279132252,49,-20.530766884307415,2.0499938736868055e-25,0.0188728664070367,1
100,-0.0911623682971766,0.009869483267526376,49,-9.236792426319697,3.188983069789771e-12,0.0190864745527505,1
101,-0.5048555962243337,0.019839368451549915,49,-25.44716065217755,1.6133661254361177e-29,0.019279059022665,1
102,-0.055144305487193526,0.005738853652749838,49,-9.608940883301754,9.196002992935169e-13,0.0194607581943273,1
103,-0.24399595163569535,0.012272320812116369,49,-19.881810080681724,8.170710210085167e-25,0.0196548048406839,1
104,-0.03724203070305644,0.006357137248003017,49,-5.858302133520144,4.123924787105361e-07,0.0198375191539526,1
105,-0.057911171328024785,0.00449264210883893,49,-12.890225823706052,3.340865183467647e-17,0.0199899114668369,1
106,-0.024338789216751734,0.005343630009245642,49,-4.554729495612596,3.6048914655790666e-05,0.0203421004116535,1
107,-0.05892121461283794,0.006140308555600513,49,-9.5958068034051,9.605993379630897e-13,0.0204064417630434,1
108,-0.19964138060200334,0.014245553528357782,49,-14.014294369438788,1.3796871522789135e-18,0.0205841325223445,1
109,-0.03587764611916121,0.004676509645789661,49,-7.671885409551641,6.92101642907047e-10,0.0207765027880668,1
110,-1.180031627507933,0.04268819995360793,49,-27.643040202921433,3.8942214402586473e-31,0.0210340023040771,1
111,-3.1245611419270647,0.07437754662292975,49,-42.00946769281844,1.6370720558836064e-39,0.0211396422237157,1
