boundary_idx,run_id,prev_sentence_id,cur_sentence_id,boundary_onset,pre_window_size,post_window_size,pre_entropy,post_entropy,pre_id,post_id,entropy_post_minus_pre,id_post_minus_pre
1541,2,132,133,9.614,4,4,1.08863544033966,1.04422061243894,2.9403997388299996,2.716051272895892,-0.044414827900720155,-0.22434846593410773
1582,2,133,134,23.826,4,4,1.06307104183388,1.0716466045420385,2.802336753270462,2.8459849303879654,0.008575562708158513,0.04364817711750346
1597,2,134,135,28.538,4,4,1.0665989489449255,1.0722436993617057,2.8127303336646796,2.845800328205844,0.005644750416780253,0.03306999454116433
1605,2,135,136,33.269,4,4,1.0619843899374994,1.0394683626594856,2.7879637602870138,2.6732481342711014,-0.022516027278013828,-0.11471562601591234
1625,2,136,137,40.954,4,4,1.0693541739483972,1.0063713613298737,2.8321634299854663,2.508547625351796,-0.06298281261852345,-0.3236158046336701
1641,2,137,138,47.78,4,4,0.9640043125173763,1.036546277784307,2.448414879076547,2.680828300091494,0.0725419652669308,0.23241342101494666
1665,2,138,139,56.785,4,4,1.041235239737574,1.0853895292843991,2.6799041100266447,2.9253465333313984,0.04415428954682521,0.24544242330475363
1669,2,139,140,58.747,4,4,1.0853895292843991,1.0344119376756349,2.9253465333313984,2.67089778931682,-0.05097759160876425,-0.2544487440145784
1695,2,140,141,69.9,4,4,0.9966679263084792,1.0700823341248817,2.514429325873143,2.832126149533848,0.07341440781640252,0.3176968236607052
1712,2,141,142,78.544,4,4,1.0892098078112622,1.0783350280854513,2.9452183295768557,2.886748585893493,-0.010874779725810857,-0.05846974368336255
1736,2,142,143,85.97,4,3,1.019181919333834,0.6925844833334149,2.5942335853894574,1.9977521625257577,-0.32659743600041913,-0.5964814228636997
1739,2,143,144,87.688,3,4,0.6925844833334149,1.0474305641692971,1.9977521625257577,2.7178826799560776,0.3548460808358822,0.7201305174303199
1757,2,144,145,92.33,4,4,1.0388551410057953,1.070366366502039,2.666311229242885,2.844968252714197,0.031511225496243744,0.17865702347131185
1766,2,145,146,95.073,4,4,1.057600174081391,1.090801878138596,2.7837121573788894,2.953568870149973,0.03320170405720502,0.16985671277108372
1772,2,146,147,96.947,4,4,1.0964508754917006,1.0669489107342058,2.987236133801684,2.8196848104193135,-0.02950196475749478,-0.16755132338237066
1776,2,147,148,98.93,4,4,1.0669489107342058,1.022041393374947,2.8196848104193135,2.588201768594117,-0.0449075173592588,-0.23148304182519652
