subject,run,hemi,mode_k,model,beta_boundary,p_boundary,beta_wordrate,p_wordrate,beta_content_density,p_content_density,beta,p,metric,control_model
sub-EN106,10,L,87,boundary_plus_wordrate_content,-0.3181328967024597,0.1309573240598647,0.1028303496565049,0.6154047767278419,-0.5652652933655972,0.0075414408210487,-0.3181328967024597,0.1309573240598647,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,88,boundary_plus_wordrate_content,-0.6078800164738973,0.1104745239628176,0.2515479383400062,0.4966945459540912,-0.9097658737267292,0.0172039780486324,-0.6078800164738973,0.1104745239628176,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,89,boundary_plus_wordrate_content,-0.1018760140311193,0.212709809727641,0.081977618965284,0.3028430647434824,-0.0662655221229441,0.4170490588537671,-0.1018760140311193,0.212709809727641,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,90,boundary_plus_wordrate_content,-0.075850527521972,0.3043845110547407,0.0696569451700261,0.3326329858191579,-0.042130782536203,0.5679386598245522,-0.075850527521972,0.3043845110547407,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,91,boundary_plus_wordrate_content,-0.0562687042073975,0.2327356060686138,0.0523828719152228,0.2538258705056791,-0.150622546788795,0.0015300842384671,-0.0562687042073975,0.2327356060686138,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,92,boundary_plus_wordrate_content,-0.2812235749410692,0.0415658355774451,0.0991142999562964,0.4591691147434308,-0.3826350026505829,0.005704229554793,-0.2812235749410692,0.0415658355774451,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,93,boundary_plus_wordrate_content,-0.6537183274790243,0.1839088321465344,0.1531072052231004,0.748853251426329,-0.7889933780139237,0.1089098095154391,-0.6537183274790243,0.1839088321465344,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,94,boundary_plus_wordrate_content,-0.0663698917937116,0.3527168474686917,0.0707949605671305,0.3087118581952601,-0.0999310460400694,0.1620267935763315,-0.0663698917937116,0.3527168474686917,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,95,boundary_plus_wordrate_content,-0.0293352307373999,0.427792370559198,0.0403552641749849,0.2628487701713859,-0.0727323171213839,0.0499198026623957,-0.0293352307373999,0.427792370559198,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,96,boundary_plus_wordrate_content,-0.1911332796884521,0.2786752087739158,0.0839456870203749,0.6247763082889792,-0.3229047700614442,0.0677041221164111,-0.1911332796884521,0.2786752087739158,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,97,boundary_plus_wordrate_content,-0.0272148555881416,0.5059592589539001,0.0349306548256888,0.3807427115692159,-0.1139755411849124,0.0056542968374201,-0.0272148555881416,0.5059592589539001,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,98,boundary_plus_wordrate_content,-0.4508591479502434,0.1176122399909667,0.1237045246767019,0.6585359083102831,-0.6984597808397253,0.0156419712222994,-0.4508591479502434,0.1176122399909667,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,99,boundary_plus_wordrate_content,-0.1617282401674513,0.0088472857194589,0.0621233189079671,0.2989998952344468,-0.1036700360658842,0.0919394932907548,-0.1617282401674513,0.0088472857194589,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,100,boundary_plus_wordrate_content,-0.0198913942749158,0.6692951554155997,-0.0051636553486228,0.9093228110640772,-0.0839776869949038,0.072094257555315,-0.0198913942749158,0.6692951554155997,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,101,boundary_plus_wordrate_content,-0.5603990035916558,0.159104883863536,0.2070876745356849,0.5924511132979402,-0.944580709515826,0.017984060663777,-0.5603990035916558,0.159104883863536,boundary,boundary_plus_wordrate_content
