metric,control_model,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,boundary_plus_wordrate_content,L,79,-0.07270303437701099,0.007616958440763605,49,-9.544890515343612,1.1377853029894379e-12,0.0149750523269176,1
boundary,boundary_plus_wordrate_content,L,80,-0.045646099386946797,0.006108815446865278,49,-7.472168669028946,1.3941391851460062e-09,0.0150899533182382,1
boundary,boundary_plus_wordrate_content,L,81,-0.203725232730791,0.015513027867925503,49,-13.132525414462135,1.658491843605908e-17,0.0154220629483461,1
boundary,boundary_plus_wordrate_content,L,82,-0.2172065496132547,0.013551385597176894,49,-16.02836463147388,6.673696280401918e-21,0.0154968649148941,1
boundary,boundary_plus_wordrate_content,L,83,-0.32504717262629995,0.01752395905458756,49,-18.54872929192371,1.569154140115692e-23,0.0157812219113111,1
boundary,boundary_plus_wordrate_content,L,84,-0.4194321376389584,0.018309124865012277,49,-22.9083662234709,1.7183510655294544e-27,0.0159307047724723,1
boundary,boundary_plus_wordrate_content,L,85,-0.00999926625907718,0.004339076106043619,49,-2.3044689732797834,0.02556668900986285,0.0159959252923727,1
boundary,boundary_plus_wordrate_content,L,86,-0.3255038709206956,0.014845548456197805,49,-21.926025291763633,1.1766006108736167e-26,0.0163249354809522,1
boundary,boundary_plus_wordrate_content,L,87,-0.07543260226007044,0.009821035351937773,49,-7.680717924020808,6.710304943743651e-10,0.0165493730455636,1
boundary,boundary_plus_wordrate_content,L,88,-0.4557157063205135,0.01446358995703304,49,-31.507786633491914,1.0056841098690899e-33,0.0166782364249229,1
boundary,boundary_plus_wordrate_content,L,89,-0.10153712475850418,0.012355887121992898,49,-8.217712233528978,1.0344801556601437e-10,0.0169897153973579,1
boundary,boundary_plus_wordrate_content,L,90,-0.1451542714772596,0.010466177473557157,49,-13.868890704747987,2.065335837659247e-18,0.0170869976282119,1
boundary,boundary_plus_wordrate_content,L,91,-0.08786698334454328,0.012253398815823657,49,-7.17082539018273,4.025267735163849e-09,0.0171879101544618,1
boundary,boundary_plus_wordrate_content,L,92,-0.1603656194473976,0.012954294220793366,49,-12.379340527096367,1.498901822860467e-16,0.0173780377954244,1
boundary,boundary_plus_wordrate_content,L,93,-0.7213244972752164,0.031749044074718784,49,-22.719565841971118,2.4737257913677483e-27,0.0176062751561403,1
boundary,boundary_plus_wordrate_content,L,94,-0.12160829906540394,0.008372881654568282,49,-14.524067588970865,3.42205708049521e-19,0.017727717757225,1
boundary,boundary_plus_wordrate_content,L,95,-0.01647647452959157,0.003668473954215303,49,-4.491370181505332,4.445800993314452e-05,0.0180606748908758,1
boundary,boundary_plus_wordrate_content,L,96,-0.49344982809205024,0.021489941523437327,49,-22.9618971998544,1.5504014000440722e-27,0.0183309633284807,1
boundary,boundary_plus_wordrate_content,L,97,-0.16426941862452046,0.011183393994835275,49,-14.688690991338007,2.196004580455215e-19,0.0185584239661693,1
boundary,boundary_plus_wordrate_content,L,98,-0.24779125569078847,0.017994427255429758,49,-13.770444158816911,2.7180406910393386e-18,0.0187302939593791,1
boundary,boundary_plus_wordrate_content,L,99,-0.06199763126048608,0.0060665084007283585,49,-10.219656376482147,1.2376160591615632e-13,0.0188728664070367,1
boundary,boundary_plus_wordrate_content,L,100,-0.08163112099950583,0.007267987298886975,49,-11.231599291870927,4.9377147136971775e-15,0.0190864745527505,1
boundary,boundary_plus_wordrate_content,L,101,-0.6968462926810332,0.021347152948654215,49,-32.64352367536507,1.979367779215828e-34,0.019279059022665,1
boundary,boundary_plus_wordrate_content,L,102,-0.42041566396106866,0.021081793919621318,49,-19.942119990546818,7.174689149071782e-25,0.0194607581943273,1
boundary,boundary_plus_wordrate_content,L,103,-0.13182433267945126,0.012918186994280217,49,-10.204553683718862,1.2998378398161903e-13,0.0196548048406839,1
boundary,boundary_plus_wordrate_content,L,104,-0.047376477906810814,0.004952369351861872,49,-9.566426601238728,1.0591281357964955e-12,0.0198375191539526,1
boundary,boundary_plus_wordrate_content,L,105,-0.4065176274087717,0.01946788512017025,49,-20.881447825454224,9.852227395609665e-26,0.0199899114668369,1
boundary,boundary_plus_wordrate_content,L,106,-0.16706267355116028,0.01031603786956462,49,-16.194461057965366,4.388640843383196e-21,0.0203421004116535,1
boundary,boundary_plus_wordrate_content,L,107,-0.07042642210349342,0.006385892150124217,49,-11.028439010220916,9.329701357716132e-15,0.0204064417630434,1
boundary,boundary_plus_wordrate_content,L,108,-0.0854282218128946,0.007044289039806258,49,-12.127302177714755,3.1822810648119673e-16,0.0205841325223445,1
boundary,boundary_plus_wordrate_content,L,109,-0.029735002574862536,0.004842609725508007,49,-6.140284734951097,1.5303372177873296e-07,0.0207765027880668,1
boundary,boundary_plus_wordrate_content,L,110,-0.01883753890816335,0.0030167288519541394,49,-6.244359315210249,1.0603939579831941e-07,0.0210340023040771,1
boundary,boundary_plus_wordrate_content,L,111,-0.48356637619477205,0.020540768620849366,49,-23.541785856247888,5.153299036032565e-28,0.0211396422237157,1
boundary,boundary_plus_wordrate_content,L,112,-0.9313941092632526,0.030871215568444056,49,-30.170308882015817,7.312813131556771e-33,0.0213069375604391,1
boundary,boundary_plus_wordrate_content,L,113,-0.04245646225718038,0.006431961882968904,49,-6.600857254704854,3.011546421263944e-08,0.0215043816715478,1
boundary,boundary_plus_wordrate_content,L,114,-0.01565743164969413,0.003186628240218865,49,-4.913479222985467,1.0817502331170912e-05,0.0218461286276578,1
boundary,boundary_plus_wordrate_content,L,115,-0.04137080852281745,0.006703185805105277,49,-6.17181288504768,1.369437760366057e-07,0.0219429824501276,1
boundary,boundary_plus_wordrate_content,L,116,-0.015793311719146767,0.002631503558719529,49,-6.001630386102037,2.49299925349239e-07,0.0221266504377126,1
boundary,boundary_plus_wordrate_content,L,117,-0.08443311259090254,0.007885225115174,49,-10.707761840359252,2.5746903957507912e-14,0.0223625842481851,1
boundary,boundary_plus_wordrate_content,L,118,-0.02157844563726451,0.004362801232689219,49,-4.946007046019747,9.686883169985266e-06,0.0224539022892713,1
boundary,boundary_plus_wordrate_content,L,119,-0.3436200568822353,0.016075407656008796,49,-21.375511230273172,3.568160737245306e-26,0.0227182861417531,1
boundary,boundary_plus_wordrate_content,R,0,-1750.167918150973,26.112057135334588,49,-67.02527912987225,4.373520213709636e-49,,1
boundary,boundary_plus_wordrate_content,R,1,-0.6268195165014869,0.13254849435723276,49,-4.728982547414982,2.0156624989313027e-05,0.0002292282879352,1
boundary,boundary_plus_wordrate_content,R,2,-14.325114452843886,0.37861521652986313,49,-37.8355486716525,2.1515749493965495e-37,0.0004418147727847,1
boundary,boundary_plus_wordrate_content,R,3,-132.5876828328657,1.180097303965196,49,-112.35317832467148,8.749483139457041e-60,0.000503646209836,1
boundary,boundary_plus_wordrate_content,R,4,-5.344767574306664,0.25528621109817673,49,-20.936373928363874,8.791903901957147e-26,0.0007804138585925,1
boundary,boundary_plus_wordrate_content,R,5,-0.15628200953487292,0.04093885669450954,49,-3.8174492927603545,0.00038628932347535414,0.0009679924696683,1
boundary,boundary_plus_wordrate_content,R,6,-20.064764200982967,0.5120294540615205,49,-39.1867382663736,4.204991378905343e-38,0.001079499721527,1
