subject,run,hemi,K,r2
sub-EN059,15,R,80,0.9960331657819408
sub-EN059,15,R,100,0.9981024540826873
sub-EN059,15,R,120,1.0
sub-EN059,17,L,1,0.8360606338922044
sub-EN059,17,L,2,0.8393020402292329
sub-EN059,17,L,3,0.8574100460894478
sub-EN059,17,L,5,0.9060087547127709
sub-EN059,17,L,10,0.9255475233425664
sub-EN059,17,L,20,0.9536989421492073
sub-EN059,17,L,40,0.9679845630424353
sub-EN059,17,L,60,0.9806707164729533
sub-EN059,17,L,80,0.9899209671492266
sub-EN059,17,L,100,0.9950572161925019
sub-EN059,17,L,120,1.0
sub-EN059,17,R,1,0.8191865155376468
sub-EN059,17,R,2,0.8215010347466556
sub-EN059,17,R,3,0.8302049686943154
sub-EN059,17,R,5,0.8961481356223193
sub-EN059,17,R,10,0.9184229385887384
sub-EN059,17,R,20,0.9503446469365248
sub-EN059,17,R,40,0.9671584352678825
sub-EN059,17,R,60,0.9783874246552245
sub-EN059,17,R,80,0.989316871853499
sub-EN059,17,R,100,0.9951624059793583
sub-EN059,17,R,120,1.0
sub-EN059,7,L,1,0.8535777343716724
sub-EN059,7,L,2,0.8552665658230094
sub-EN059,7,L,3,0.8716116797094259
sub-EN059,7,L,5,0.9181483992153822
sub-EN059,7,L,10,0.9359304672076314
sub-EN059,7,L,20,0.9610642051258668
sub-EN059,7,L,40,0.9737129884636863
sub-EN059,7,L,60,0.9845581501942505
sub-EN059,7,L,80,0.9924367594749909
sub-EN059,7,L,100,0.9962966784935308
sub-EN059,7,L,120,1.0
sub-EN059,7,R,1,0.8408722962384665
sub-EN059,7,R,2,0.8423154111811252
sub-EN059,7,R,3,0.8486246192286377
sub-EN059,7,R,5,0.9109600806711344
sub-EN059,7,R,10,0.9323010342727891
sub-EN059,7,R,20,0.9598169114370807
sub-EN059,7,R,40,0.9738298119534566
sub-EN059,7,R,60,0.9834221371943273
sub-EN059,7,R,80,0.9919170271411323
sub-EN059,7,R,100,0.9960741719315385
sub-EN059,7,R,120,1.0
sub-EN059,8,L,1,0.8254357840459297
sub-EN059,8,L,2,0.8376520366093173
sub-EN059,8,L,3,0.8550901231424678
sub-EN059,8,L,5,0.9068583259038598
sub-EN059,8,L,10,0.9258161732552376
sub-EN059,8,L,20,0.953773084291967
sub-EN059,8,L,40,0.9682494162698261
sub-EN059,8,L,60,0.9808202874064068
sub-EN059,8,L,80,0.9902925160842906
sub-EN059,8,L,100,0.9954680103481848
sub-EN059,8,L,120,1.0
sub-EN059,8,R,1,0.8114452688208799
sub-EN059,8,R,2,0.8214349263097378
sub-EN059,8,R,3,0.8300146449454955
sub-EN059,8,R,5,0.896505705319143
sub-EN059,8,R,10,0.9196326140605305
sub-EN059,8,R,20,0.9509728875693313
sub-EN059,8,R,40,0.9679078734070446
sub-EN059,8,R,60,0.9791116133714514
sub-EN059,8,R,80,0.9892330832383498
sub-EN059,8,R,100,0.994875978089905
sub-EN059,8,R,120,1.0
sub-EN059,9,L,1,0.8207799275639655
sub-EN059,9,L,2,0.8378576750571058
sub-EN059,9,L,3,0.8571892689820032
sub-EN059,9,L,5,0.9073590153923385
sub-EN059,9,L,10,0.9259042359634959
sub-EN059,9,L,20,0.9523982791542653
sub-EN059,9,L,40,0.9677771244023928
sub-EN059,9,L,60,0.9801566547245125
sub-EN059,9,L,80,0.9895112256691011
sub-EN059,9,L,100,0.9949558664032393
sub-EN059,9,L,120,1.0
sub-EN059,9,R,1,0.807366397131751
sub-EN059,9,R,2,0.8196662636186915
sub-EN059,9,R,3,0.8320601107860282
sub-EN059,9,R,5,0.8998177563205708
sub-EN059,9,R,10,0.9220555008835976
sub-EN059,9,R,20,0.9531198918665801
sub-EN059,9,R,40,0.9695939467455578
sub-EN059,9,R,60,0.9804452075451413
sub-EN059,9,R,80,0.9900080941095452
sub-EN059,9,R,100,0.9953222548354661
sub-EN059,9,R,120,1.0
sub-EN061,11,L,1,0.8440806687176401
sub-EN061,11,L,2,0.8470970600981027
sub-EN061,11,L,3,0.8663994353001041
sub-EN061,11,L,5,0.9118624616001718
sub-EN061,11,L,10,0.9297691804203713
sub-EN061,11,L,20,0.9546400107864254
sub-EN061,11,L,40,0.9688478719097569
sub-EN061,11,L,60,0.9811987697187485
sub-EN061,11,L,80,0.98917868862651
sub-EN061,11,L,100,0.9950300124823658
sub-EN061,11,L,120,1.0
sub-EN061,11,R,1,0.83297346446583
sub-EN061,11,R,2,0.8344754088401954
sub-EN061,11,R,3,0.8414306371257937
sub-EN061,11,R,5,0.9031118189279238
sub-EN061,11,R,10,0.9267599440259501
sub-EN061,11,R,20,0.9539569558160527
sub-EN061,11,R,40,0.9701211919859872
sub-EN061,11,R,60,0.9809564931679876
sub-EN061,11,R,80,0.9898332940580103
sub-EN061,11,R,100,0.9949594670324535
sub-EN061,11,R,120,1.0
sub-EN061,12,L,1,0.8369386645134768
sub-EN061,12,L,2,0.839325084867693
sub-EN061,12,L,3,0.8601988270448558
sub-EN061,12,L,5,0.904257954205434
sub-EN061,12,L,10,0.9224543155560476
sub-EN061,12,L,20,0.9496410408198251
sub-EN061,12,L,40,0.9656895180481743
sub-EN061,12,L,60,0.9795521767790415
sub-EN061,12,L,80,0.9878238203799611
sub-EN061,12,L,100,0.9942453779951371
sub-EN061,12,L,120,1.0
