subject,K,energy_subject
sub-EN097,100,0.9939088875846208
sub-EN097,120,1.0
sub-EN098,1,0.7913708075245242
sub-EN098,2,0.7967804042811207
sub-EN098,3,0.8171199551053446
sub-EN098,5,0.8789426372071271
sub-EN098,10,0.9033691050968867
sub-EN098,20,0.935966954294241
sub-EN098,40,0.9586896113374025
sub-EN098,60,0.9740670157456732
sub-EN098,80,0.986073278326795
sub-EN098,100,0.9937334997991485
sub-EN098,120,1.0
sub-EN099,1,0.7505781694279199
sub-EN099,2,0.7677822269446297
sub-EN099,3,0.794342545144021
sub-EN099,5,0.8642220540436988
sub-EN099,10,0.8991248308285553
sub-EN099,20,0.9351015985228075
sub-EN099,40,0.9582739711812953
sub-EN099,60,0.9729408895306041
sub-EN099,80,0.9850627816575189
sub-EN099,100,0.9932428686987945
sub-EN099,120,1.0
sub-EN100,1,0.7961286486141291
sub-EN100,2,0.8034507321943816
sub-EN100,3,0.8202995225789678
sub-EN100,5,0.88106324628503
sub-EN100,10,0.9057898833260681
sub-EN100,20,0.9384767943574052
sub-EN100,40,0.9594456999551482
sub-EN100,60,0.9739757863821212
sub-EN100,80,0.985692008300276
sub-EN100,100,0.993232642580631
sub-EN100,120,1.0
sub-EN101,1,0.7920426961106696
sub-EN101,2,0.7968884916887874
sub-EN101,3,0.8114283380745388
sub-EN101,5,0.8711472134845543
sub-EN101,10,0.8969452785673518
sub-EN101,20,0.9317853748097286
sub-EN101,40,0.956105452660696
sub-EN101,60,0.972461767694409
sub-EN101,80,0.9850048944357683
sub-EN101,100,0.9930778326603189
sub-EN101,120,1.0
sub-EN103,1,0.7928112789189667
sub-EN103,2,0.7999081958250429
sub-EN103,3,0.8201000344408711
sub-EN103,5,0.8827489351672387
sub-EN103,10,0.9090312015770691
sub-EN103,20,0.9409603067069175
sub-EN103,40,0.9615110744667893
sub-EN103,60,0.9758335858992103
sub-EN103,80,0.9867811452763012
sub-EN103,100,0.9934812799801939
sub-EN103,120,1.0
sub-EN104,1,0.8046099886376767
sub-EN104,2,0.8081865939288815
sub-EN104,3,0.8244927462629802
sub-EN104,5,0.8833640519302529
sub-EN104,10,0.9077746477227695
sub-EN104,20,0.9384860919916354
sub-EN104,40,0.9587228111996607
sub-EN104,60,0.9744938741369172
sub-EN104,80,0.9858984815158875
sub-EN104,100,0.9933154635914241
sub-EN104,120,1.0
sub-EN105,1,0.8194933496547882
sub-EN105,2,0.8229354060279753
sub-EN105,3,0.8364556603334524
sub-EN105,5,0.8946066244341276
