subject,run,hemi,mode_k,beta,p
sub-EN057,16,L,5,-1.106123211851477,1.2434453024813828e-08
sub-EN057,16,L,6,-10.35390473524714,0.0464158525892835
sub-EN057,16,L,7,-0.8758268580254704,0.0798362153934379
sub-EN057,16,L,8,-21.849564553826045,0.0457201107937992
sub-EN057,16,L,9,-1.1346641222223366,0.0007979519895514
sub-EN057,16,L,10,-4.684819370376543,0.036799747418933
sub-EN057,16,L,11,-13.194689304127015,0.048509513915053
sub-EN057,16,L,12,-4.192298492762675,0.0586522123391723
sub-EN057,16,L,13,-5.756405341026791,0.0461531175295682
sub-EN057,16,L,14,-14.572979523259804,0.0379149599186105
sub-EN057,16,L,15,-4.635412322023362,0.0482737544765645
sub-EN057,16,L,16,-0.3634960474226275,0.0002688399927618
sub-EN057,16,L,17,-4.316991779614916,0.027573146141496
sub-EN057,16,L,18,-2.261348419938608,3.1040878675057974e-05
sub-EN057,16,L,19,-5.921039480942524,0.0453174456686327
sub-EN057,16,L,20,-1.8679115982614625,0.036448107953006
sub-EN057,16,L,21,-0.7092716883574841,0.1455288307456633
sub-EN057,16,L,22,-1.6894993242466774,0.0062654209074147
sub-EN057,16,L,23,-0.02865054663119,0.572319330087929
sub-EN057,16,L,24,-0.2049228728137742,0.1574853437691196
sub-EN057,16,L,25,-0.1929370330699518,0.1082783644631485
sub-EN057,16,L,26,-3.600671950217629,0.0138777397301053
sub-EN057,16,L,27,-0.2951457785623453,0.0424433063576634
sub-EN057,16,L,28,-0.7430328999198742,0.053416596619743
sub-EN057,16,L,29,0.0838052892983917,0.3205484634194154
sub-EN057,16,L,30,0.0492212285431929,0.4335967887949568
sub-EN057,16,L,31,0.0376964341298983,0.5278562073118738
sub-EN057,16,L,32,-1.8176637729845735,0.0075152760901987
sub-EN057,16,L,33,-4.667050645635102,0.0448934436632163
sub-EN057,16,L,34,-0.5963272431591684,0.0597213016333318
sub-EN057,16,L,35,-0.2900747484199721,1.7603427517020416e-09
sub-EN057,16,L,36,-4.762094407736744,0.0322351068518758
sub-EN057,16,L,37,0.022610924913218,0.4165568448279184
sub-EN057,16,L,38,-1.8114564817486671,0.0457717948529074
sub-EN057,16,L,39,-1.018450193385616,0.0574176300660067
sub-EN057,16,L,40,-0.3155659173363671,3.0615367466333053e-06
sub-EN057,16,L,41,-4.632088476375036,0.0507236262952196
sub-EN057,16,L,42,-0.025815899932873,0.5179246451990035
sub-EN057,16,L,43,0.0004058124080396,0.9927435663150496
sub-EN057,16,L,44,0.0381320090317767,0.6442029266697722
sub-EN057,16,L,45,-0.2735522037864671,0.0774596892682161
sub-EN057,16,L,46,-1.5047808850085018,0.0456228857453752
sub-EN057,16,L,47,-0.4320242570459497,0.0002640667844406
sub-EN057,16,L,48,-7.717073309422084,0.035197388565722
sub-EN057,16,L,49,-0.7712099686144399,0.0468026606831216
sub-EN057,16,L,50,-0.1290190192713083,0.006691162323235
sub-EN057,16,L,51,-0.7017139670942371,2.7449241682903004e-05
sub-EN057,16,L,52,-0.2326719513198133,0.0043246418263197
sub-EN057,16,L,53,-1.6929508184319664,0.025947292202117
sub-EN057,16,L,54,-0.6782755723496671,0.012887638611291
sub-EN057,16,L,55,-0.0004654473649567,0.9846588671059048
sub-EN057,16,L,56,-0.0917358069357233,0.2000892931105837
sub-EN057,16,L,57,-0.2491622168871838,0.0209329877453556
sub-EN057,16,L,58,-0.3496549011995303,0.014005572850553
sub-EN057,16,L,59,-0.6705170072322163,0.0284909765056777
sub-EN057,16,L,60,-1.037760299284506,0.0438341690702303
sub-EN057,16,L,61,-0.3478483071243801,0.033127362299403
sub-EN057,16,L,62,-1.0443383229647596,0.0427743814135168
sub-EN057,16,L,63,-2.212168453925586,0.0319411446783176
sub-EN057,16,L,64,-0.307781055722065,0.0500925177807309
sub-EN057,16,L,65,-0.1611971002380057,0.1853194386958499
sub-EN057,16,L,66,-0.3293148940818259,0.0480345299592716
sub-EN057,16,L,67,-0.2051176035114167,0.1241144078369055
sub-EN057,16,L,68,-1.9261283997472156,0.0481665368515665
sub-EN057,16,L,69,-0.0676376342637484,0.0904261678712193
sub-EN057,16,L,70,-1.223255985106679,0.0277903517969424
sub-EN057,16,L,71,-0.5081181114139698,0.0130160313408984
sub-EN057,16,L,72,-0.2143306020672621,1.9706695885509183e-11
sub-EN057,16,L,73,-0.0585918615633596,0.0894598055103904
sub-EN057,16,L,74,-1.198887323956639,0.0399561841358704
sub-EN057,16,L,75,-0.4081678619737025,2.9103016803562285e-17
sub-EN057,16,L,76,-0.4946619018613941,0.0386959180201465
sub-EN057,16,L,77,-0.5886704027025752,0.026383907323133
sub-EN057,16,L,78,-2.2263010704789568,0.0411371969266197
sub-EN057,16,L,79,-0.2256311578087945,4.363673813108907e-05
sub-EN057,16,L,80,-0.187356372646222,0.0012487939003556
sub-EN057,16,L,81,-0.397505036668808,0.0161827795366681
sub-EN057,16,L,82,-0.5673637557070663,0.0473647143049276
sub-EN057,16,L,83,-0.5773953081385929,0.0224581389182537
sub-EN057,16,L,84,-0.2598886901824804,0.1127154918393182
sub-EN057,16,L,85,-0.0654018388356597,0.0542532587137536
sub-EN057,16,L,86,-0.528096455216593,0.042969114880832
sub-EN057,16,L,87,0.0018724939554316,0.8709167812324203
sub-EN057,16,L,88,-0.7969290476796905,0.0074384796952548
sub-EN057,16,L,89,-0.1092584224802902,0.0030312347663639
sub-EN057,16,L,90,-0.3066401150205126,2.055111187934482e-12
sub-EN057,16,L,91,-0.1102557556562912,6.472917340161617e-08
sub-EN057,16,L,92,-0.2207127658661564,0.0948368369144625
