metric,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,R,58,-0.17246411395350797,0.011889714792496604,49,-14.505319678681204,3.600110910246077e-19,0.0109784808009862,1
boundary,R,59,-0.3424902992690104,0.01663796087699923,49,-20.584872256940955,1.8296695035564514e-25,0.0112018398940563,1
boundary,R,60,-0.8820723481906677,0.029904889926351343,49,-29.495923588516895,2.049739519982714e-32,0.0112499464303255,1
boundary,R,61,-0.020902784958406858,0.004075935716527813,49,-5.128340192816734,5.199854787581092e-06,0.0114265698939561,1
boundary,R,62,-0.8625434148969209,0.025620927524713014,49,-33.66558115684699,4.788647498071426e-35,0.0116981286555528,1
boundary,R,63,-0.9876405372977595,0.026532478431482456,49,-37.223832664115605,4.5874398968634685e-37,0.0118494983762502,1
boundary,R,64,-0.18930370362173046,0.011833454056735004,49,-15.99733287627786,7.219734288968965e-21,0.0121008921414613,1
boundary,R,65,-0.011127936602935524,0.003711043295567445,49,-2.998600586586254,0.004288177469317863,0.0122096873819828,1
boundary,R,66,-0.5855933698153017,0.022643408240164902,49,-25.861538316328886,7.824308540248243e-30,0.012521605938673,1
boundary,R,67,-0.7421666653340689,0.02857493544407091,49,-25.97264539010754,6.45534679671839e-30,0.0128279495984315,1
boundary,R,68,-0.5025956211046947,0.017704488383733032,49,-28.388034164629232,1.167789564106351e-31,0.0129549652338027,1
boundary,R,69,-0.009089649015277024,0.00327985158528648,49,-2.7713598554439116,0.007919317018226034,0.0130439344793558,1
boundary,R,70,-0.566805555688852,0.023343060303171397,49,-24.281544421656044,1.3064326997935491e-28,0.0131426770240068,1
boundary,R,71,-0.007612725217661871,0.0027371653931811024,49,-2.781244142800756,0.007715100391338944,0.0135406553745269,1
boundary,R,72,-0.9875508069072182,0.02684283850271055,49,-36.79010350591264,7.902884155945306e-37,0.0137549825012683,1
boundary,R,73,-0.011079676603209077,0.003516172563357216,49,-3.1510616738987016,0.002800739412887287,0.0138666797429323,1
boundary,R,74,-0.07128691519099185,0.006328466023778003,49,-11.264485725789614,4.456665628330011e-15,0.0139644090086221,1
boundary,R,75,-0.6836123109983788,0.024243189243534555,49,-28.198118000530492,1.5832005400689668e-31,0.0142714828252792,1
boundary,R,76,-0.09231654612387288,0.008055952503056362,49,-11.459420358902161,2.434356278263965e-15,0.0145824085921049,1
boundary,R,77,-0.19041040834332085,0.013033096488039663,49,-14.60975973883555,2.715378651257666e-19,0.0147327147424221,1
boundary,R,78,-0.20286559334793858,0.011348081657219108,49,-17.876642015426913,7.407205993955705e-23,0.0147609356790781,1
boundary,R,79,-0.9555503766507413,0.026713722578118625,49,-35.770019466827826,2.9089438424861058e-36,0.0149750523269176,1
boundary,R,80,-0.11103908815842878,0.00787621455813377,49,-14.098027337734049,1.094941044462899e-18,0.0150899533182382,1
boundary,R,81,-0.08590409539727417,0.006096376905094516,49,-14.091007943666884,1.1163292201508613e-18,0.0154220629483461,1
boundary,R,82,-0.14882767253239268,0.007900881359088055,49,-18.836844368154246,8.173210831757595e-24,0.0154968649148941,1
