subject,run,hemi,mode_k,beta,p
sub-EN057,15,R,31,-0.0789124230813653,0.053253191152098
sub-EN057,15,R,32,-0.7835955039101047,0.3218146530568909
sub-EN057,15,R,33,0.0522017161893659,0.2474671648054389
sub-EN057,15,R,34,-0.2249042979782546,0.3978160230995176
sub-EN057,15,R,35,-0.0803383665851762,0.1925978302821463
sub-EN057,15,R,36,-0.1467815925055429,0.3665945693719205
sub-EN057,15,R,37,-3.316599477850552,0.332164529586523
sub-EN057,15,R,38,-0.9709885692164628,0.3233945998569731
sub-EN057,15,R,39,-1.9265326669977128,0.3381783699827925
sub-EN057,15,R,40,-0.059813953829515,0.3552838713889026
sub-EN057,15,R,41,-2.4802966272400413,0.3080663762222442
sub-EN057,15,R,42,-0.3178746674204684,0.2123916593285052
sub-EN057,15,R,43,-0.1105879349000986,0.5218743379795161
sub-EN057,15,R,44,-0.1357054203305384,0.1507712808132726
sub-EN057,15,R,45,-0.7152797049029921,0.3144418115346132
sub-EN057,15,R,46,0.033795066164608,0.1888590088083558
sub-EN057,15,R,47,-0.99609291430027,0.2908016993891994
sub-EN057,15,R,48,-1.0417655584603094,0.3022689248267848
sub-EN057,15,R,49,-1.5575455142189638,0.326485315459405
sub-EN057,15,R,50,-0.3212220876255311,0.2901596545036824
sub-EN057,15,R,51,-0.1328716377223827,0.4143091484311376
sub-EN057,15,R,52,0.0091038035823014,0.8419181625835203
sub-EN057,15,R,53,-0.034088243389468,0.4160705073496556
sub-EN057,15,R,54,-0.1963995953635884,0.3306024352854827
sub-EN057,15,R,55,-0.0025968711803426,0.9049600331827464
sub-EN057,15,R,56,-0.0316830721272533,0.6208356191808293
sub-EN057,15,R,57,-0.058085520743943,0.0260829147749957
sub-EN057,15,R,58,-0.2841478784804574,0.2058778481693476
sub-EN057,15,R,59,-0.2635717410301048,0.3230947176876837
sub-EN057,15,R,60,-0.5120428580952863,0.3325983426450879
sub-EN057,15,R,61,0.0156550616987323,0.310495675762232
sub-EN057,15,R,62,-0.7170447385829389,0.3344038294911652
sub-EN057,15,R,63,-0.6481392871802775,0.3308708270539956
sub-EN057,15,R,64,-0.3035637193393167,0.3112554048493646
sub-EN057,15,R,65,-0.0166582211130014,0.549267063681856
sub-EN057,15,R,66,-0.3748552921506849,0.3634173633417557
sub-EN057,15,R,67,-0.641876509800724,0.2937207341434761
sub-EN057,15,R,68,-0.4778365434954429,0.3235268449508691
sub-EN057,15,R,69,0.0057476931880785,0.756344560865117
sub-EN057,15,R,70,-0.8134244138085917,0.2927852564098228
sub-EN057,15,R,71,0.0121718411413679,0.4655137804197998
sub-EN057,15,R,72,-0.962322831157148,0.3074510732037577
sub-EN057,15,R,73,-0.0765990954765872,0.0614198430489508
sub-EN057,15,R,74,-0.0659742634150803,0.3135145973380966
sub-EN057,15,R,75,-0.7418116121870729,0.3305346920774292
sub-EN057,15,R,76,-0.1246882714402799,0.2282247726730089
sub-EN057,15,R,77,-0.1835005017165828,0.2921085970007372
sub-EN057,15,R,78,-0.2228703312764916,0.3162309694316682
sub-EN057,15,R,79,-0.9470141495813004,0.3445978038693283
sub-EN057,15,R,80,-0.0875812580826905,0.1953850419736162
sub-EN057,15,R,81,-0.1099769322313568,0.2616710699935093
sub-EN057,15,R,82,-0.1624052539576686,0.2893642826633553
sub-EN057,15,R,83,-0.1556475937419441,0.3061666530549394
sub-EN057,15,R,84,-0.6569767378147432,0.2900494893940274
sub-EN057,15,R,85,-0.131031675181058,0.310668466357392
